"burgerservicenummer","geslacht","voornamen","geslachtsnaam","geboortedatum","straat","huisnummer","postcode","woonplaats"
"999990135","V","Gerarda","Kierkegaard","19281209","Laan van Meerdervoort",492,"2563BJ","'s-Gravenhage"
"999990949","V","Marianne","de Jong","19520422","Mississippidreef",151,"3565CE","Utrecht"
"999970501","M","Joop","Jansses","19890727","Turfmarkt",61,"2511CA","'s-Gravenhage"
"999993355","M","Jan-Kees","Brouwers","19780331","Belcampostraat",10,"3544NG","Utrecht"
"999990196","V","Anna Maria Petra","Wesseling","19450418","Eemhavenweg",20,"3089KG","Rotterdam"
"999970677","V","Laurentien","Leeuwen","20031224","Turfmarkt",67,"2511CA","'s-Gravenhage"
"999994013","V","Eveline Johanna","Holthuizen","19310612","B v Voerst v Lyndenstr",25,"7783BC","Gramsbergen"
"999993446","M","Henk","Vermolen","19400616","Eemhavenweg",20,"3089KG","Rotterdam"
"999970513","M","Josephien","Joosten","19900830","Turfmarkt",61,"2511CA","'s-Gravenhage"
"999990044","V","Margriet","Maassen","19480117","Laan van Nieuw-O-Indië",264,"2252EB","'s-Gravenhage"
"999970653","M","Kees","Klapwijk","19851101","Turfmarkt",65,"2511CA","'s-Gravenhage"
"999996277","V","Christina Annabel","Christiaansen","19700717","Franciscus Romanusweg",60,"6221AH","Maastricht"
"999994657","V","Hannah","Thain","19661111","Eemhavenweg",20,"3089KG","Rotterdam"
"999970689","M","Louis","Luiten","19901201","Turfmarkt",67,"2511CA","Groningen"
"999992570","M","Albert","Vogel","19580719","Poolsestraat",36,"3028EN","Rotterdam"
"999970732","V","Ria","Rozenburg","19781201","Turfmarkt",75,"2511CA","'s-Gravenhage"
"999970690","M","Leroy","Leijtes","20010225","Turfmarkt",67,"2511CA","Leiden"
"999997737","V","Allegonda","Rood","19650526","Eemstein",21,"3073KA","Rotterdam"
"999999308","M","Sjoerd","van Steenbergen","19780101","Turfmarkt",77,"2511CA","'s-Gravenhage"
"999992880","V","Mieke","Muis","19490516","Eemhavenweg",20,"3089KG","Rotterdam"
"999998857","V","Helena","Hanssen","19971201","Turfmarkt",17,"2511CA","'s-Gravenhage"
"","V","Tina","van Tubbergen","19800201","Turfmarkt",79,"2511CA","'s-Gravenhage"
"999993112","V","Wilma","van Zon","19700407","Schakelstraat",14,"1014AW","Amsterdam"
"none-confirmed","M","Vladimir","Precise","20100501","Papierweg",5,"1013BL","Amsterdam"
"999993471","M","Albert","Zaal","19631207","Zaagmolendrift",2,"3035JA","Rotterdam"
"000009842","M","Artem","Sahakian","19931008","Koningskade",4,"2596AA","'s-Gravenhage"
"999970720","M","Richard","Reijmersma","19800901","Turfmarkt",75,"2511CA","'s-Gravenhage"
"999990627","M","Stephan","Janssen","19750406","Mandelaplein",2,"2572HT","'s-Gravenhage"
"999997609","V","Eleonora","de Crooy","19691227","Loosduinse Hoofdstraat",189,"2552AB","'s-Gravenhage"
"000009878","M","Hendrik","Derks","19670404","Eemhavenweg",18,"3089KG","Rotterdam"
"000009891","V","Erika","de Goede","19870401","Grotemarkt",22,"3011PA","Rotterdam"
"000009933","M","Cor","Veerboot","19751116","Van Wijngaerdenstraat",1,"2596TW","Toetsoog"
"000009970","V","Nolda","Schippersdochter","19800519","Van Wijngaerdenstraat",1,"2596TW","Toetsoog"
"010082426","M","Pieter","Verstratenmaker","19390315","Vaalmuiden",6,"1046BV","Amsterdam"
"010245741","V","Karin","Koolmees","20001031","Trompenburgstraat",2,"1079TX","Amsterdam"
"900194030","M","Trévor","Tester","19801010","Croeselaan",15,"3521BJ","Utrecht"
"999970008","M","Govert","de Geus","19841002","Turfmarkt",55,"2511CA","'s-Gravenhage"
"999970823","V","Hafifa","El Haouati","19890223","Carnissesingel",20,"3084NA","Rotterdam"
"999970902","V","Isabella","van Gemert","19951120","Laanslootseweg",1,"3028HT","Rotterdam"
"999970914","M","Govert","Braaksma","19900416","Sint-Agathastraat",54,"3037SH","Rotterdam"
"999970938","V","Patricia Charlotte Maria","van den Berg","20010830","Spaanseweg",20,"3028HW","Rotterdam"
"999990020","V","Meetina Geerdina","Kierkegaard","19310706","Laan van Haamstede",30,"2497GE","'s-Gravenhage"
"999971141","M","Marc René","van der Breggen","20010403","Polderweg",2,"2742LM","Waddinxveen"
"999970951","M","Laurens Alphons","Reinier","19970730","Spaanseweg",20,"3028HW","Rotterdam"
"999971104","M","Jeroen","Verstraten","19650612","Lipariweg",3,"1044AM","Amsterdam"
"999971116","V","Carolien Hélène","van Kooijmans","19650511","Polderweg",2,"2742LM","Waddinxveen"
"999970197","V","Ria","Ruijgrok","19981201","Turfmarkt",75,"2511CA","'s-Gravenhage"
"999971128","M","Gerold Björn","van der Breggen","19631205","Polderweg",2,"2742LM","Waddinxveen"
"010755561","M","Karel","Koolmees","20011231","Trompenburgstraat",2,"1079TX","Amsterdam"
"999971189","V","Annemiek Adriana","des Crêpes","19720802","Noordkade",64,"2741EX","Waddinxveen"
"999971207","M","Otto Hans","de Munnik","20040615","Henegouwerweg",26,"2741KS","Waddinxveen"
"999970616","V","Kim","van Kootwijk","19900216","Turfmarkt",65,"2511CA","'s-Gravenhage"
"999990019","M","Erebos","Bultenaar","20000401","Plataanlaan",4,"3224TT","Hellevoetsluis"
"999990160","M","Hendrik Jan Coenraad Maurits","den Brinck","19711213","St.-Jacobsstraat",1,"3511BR","Utrecht"
"999970069","M","Nicodemus","van Nimwegen","19900901","Turfmarkt",69,"2511CA","'s-Gravenhage"
"999990202","M","Valentijn","van Urquhart","19330911","Koningsstraat",1,"1011ES","Amsterdam"
"999970203","V","Rowena","Rademaker","19890401","Turfmarkt",75,"2511CA","'s-Gravenhage"
"999990238","V","Stephanie","Bruinhard","19930506","Cataloniëstraat",76,"1827CS","Alkmaar"
"999990469","V","Hélen","van Jansons","19480104","'t Kerkestuk",1,"2811BC","Reeuwijk"
"999990536","V","Hendrika Johanna Theodora","Grupstal","19710825","J.C. Schroderstraat",1,"1068JT","Amsterdam"
"999970057","V","Nicolette","Nooitgedacht","19901201","Turfmarkt",69,"2511CA","'s-Gravenhage"
"999970240","V","Saskia","Suijdema","19890401","Turfmarkt",77,"2511CA","'s-Gravenhage"
"999990573","V","Martine","Span","19760626","Van Wijngaerdenstraat",1,"2596TW","Toetsoog"
"999990901","V","Ria","van Amstel","19420812","Doblijn",26,"1046BN","Amsterdam"
"999991309","M","Bertje","Fruitplukker","19720623","Burgemeester Röellstraat",1,"1064BH","Amsterdam"
"999991565","M","Joost Jan","Haarlem","19450505","Dam",1,"1012JS","Amsterdam"
"999970446","M","Hans","Hamersma","19850118","Turfmarkt",59,"2511CA","'s-Gravenhage"
"999970094","V","Olga","Oostingh","20060101","Turfmarkt",71,"2511CA","'s-Gravenhage"
"999991723","M","Lukas","Klamer","19950515","Van Wijngaerdenstraat",1,"2596TW","Toetsoog"
"999991747","V","Ayse","Bilgiç","19900331","Polderweg",92,"1093KP","Amsterdam"
"999991802","M","Frans","in 't Veld","19900920","Hunzestraat",87,"1079VW","Amsterdam"
"999970458","V","Helga","Huisman","19871220","Turfmarkt",59,"2511CA","'s-Gravenhage"
"999991917","V","Patricia","Blijleven","19680125","Lipariweg",3,"1044AM","Amsterdam"
"999970148","V","Grada","Goverwelle","19890416","Turfmarkt",55,"2511CA","'s-Gravenhage"
"999992181","M","Willem","Gat","19700325","Burgemeester Röellstraat",1,"1064BH","Amsterdam"
"999992259","M","Dennis","Schieland","19990131","Van Wijngaerdenstraat",1,"2596TW","Toetsoog"
